,specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment 
20,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1402.7729,-0.00088,13.638,0.0,82.598,0.0,50.39,0.0,3,3,3,-86.8179,86.8179,1401.133488650583,1401.9459560366367,494,516,-0.00071,SiIV,c,-- 
21,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1393.7602,-0.00042,13.759,0.102,28.651,6.398,2.93,3.495,2,2,2,-38.3352,38.3352,1393.0014753270634,1393.3579224263365,273,282,-0.00041,SiIV,c,-- 
22,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1402.7729,-0.00042,13.759,0.0,28.651,0.0,2.93,0.0,2,2,2,-38.3352,38.3352,1402.0092690613658,1402.368021112934,518,528,-0.00041,SiIV,c,-- 
23,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1393.7602,2e-05,14.668,0.061,49.5,3.221,-2.8,2.125,4,4,4,-80.0528,80.0528,1393.4103419411588,1394.1546862604448,284,304,1e-05,SiIV,b,-- 
24,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1402.7729,2e-05,14.668,0.0,49.5,0.0,-2.8,0.0,4,4,4,-80.0528,80.0528,1402.4207795966558,1403.1699371916018,529,550,1e-05,SiIV,b,-- 
25,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1393.7602,0.00045,12.023,1.304,4.0,14.014,-0.057,13.837,5,5,5,-43.9727,43.9727,1394.1861371048224,1394.5950026216894,305,316,0.00045,SiIV,c,-- 
26,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1402.7729,0.00045,12.023,0.0,4.0,0.0,-0.057,0.0,5,5,5,-43.9727,43.9727,1403.2015914117287,1403.613100842695,551,562,0.00045,SiIV,c,-- 
27,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,977.0201,0.52843,13.947,0.05,42.186,4.549,3.568,3.178,2,2,2,-65.3953,65.3953,1493.0936405368648,1493.5198855663214,3001,3012,0.52845,C III,c,-- 
28,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1560.3092,0.00318,14.317,1.957,73.6,257.328,-50.74,229.376,2,2,2,-50.7377,50.7377,1565.0035419683795,1565.531684007876,4961,4975,0.00301,C I,b,-- 
29,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1656.9284,0.00318,14.317,0.0,73.6,0.0,-50.74,0.0,2,2,2,-50.7377,50.7377,1661.913430227804,1662.474276465508,7602,7617,0.00301,C I,b,-- 
30,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1560.3092,0.00361,15.607,0.685,63.3,25.232,-39.67,33.84,3,3,3,-68.7778,68.7778,1565.5808949177313,1566.2968210942047,4976,4996,0.00348,C I,c,-- 
31,/Users/samgarza/Dropbox/COS-HolesHSTdata/J0246-3007/J0246-3007_nbin3_allvisits_jwnorm.fits,1656.9284,0.00361,15.607,0.0,63.3,0.0,-39.67,0.0,3,3,3,-68.7778,68.7778,1662.5265346680037,1663.2867932206686,7619,7639,0.00348,C I,c,-- 
