specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
J1220+4643_nbin3_allvisits_jwnorm.fits|1526.70700|-0.00018592|15.4200|56.2000|0.0000|2|2|2|-167.0713|167.0713|1525.57274|1527.27406|-0.00018592|SiII|a|
J1220+4643_nbin3_allvisits_jwnorm.fits|1215.67000|0.21427820|13.6900|10.0000|0.0000|3|3|3|-115.3998|115.3998|1475.59346|1476.72991|0.21427820|HI|c|
J1220+4643_nbin3_allvisits_jwnorm.fits|1190.41580|0.31639808|13.0000|15.0000|0.0000|4|4|4|-58.5611|58.5611|1566.75499|1567.36721|0.31639808|SiII|c|
J1220+4643_nbin3_allvisits_jwnorm.fits|1193.28970|0.31639808|13.0000|15.0000|0.0000|4|4|4|-58.5611|58.5611|1570.53745|1571.15114|0.31639808|SiII|c|
J1220+4643_nbin3_allvisits_jwnorm.fits|1260.42210|0.31639808|13.0000|15.0000|0.0000|4|4|4|-58.5611|58.5611|1658.89315|1659.54137|0.31639808|SiII|c|
J1220+4643_nbin3_allvisits_jwnorm.fits|1304.37020|0.31639808|13.0000|15.0000|0.0000|4|4|4|-58.5611|58.5611|1716.73504|1717.40586|0.31639808|SiII|c|
J1220+4643_nbin3_allvisits_jwnorm.fits|949.74300|0.45643130|14.3100|43.5000|0.0000|5|5|5|-96.4535|96.4535|1382.79047|1383.68054|0.45643130|HI|a|
J1220+4643_nbin3_allvisits_jwnorm.fits|972.53670|0.45643130|14.3100|43.5000|0.0000|5|5|5|-96.4535|96.4535|1415.97725|1416.88868|0.45643130|HI|a|
J1220+4643_nbin3_allvisits_jwnorm.fits|1025.72220|0.45643130|14.3100|43.5000|0.0000|5|5|5|-96.4535|96.4535|1493.41336|1494.37463|0.45643130|HI|a|
J1220+4643_nbin3_allvisits_jwnorm.fits|912.70320|0.60688776|16.5400|18.0000|0.0000|6|6|6|-139.5131|139.5131|1465.92925|1467.29427|0.60688776|HI|a|
J1220+4643_nbin3_allvisits_jwnorm.fits|912.76760|0.60688776|16.5400|18.0000|0.0000|6|6|6|-139.5131|139.5131|1466.03269|1467.39780|0.60688776|HI|a|
J1220+4643_nbin3_allvisits_jwnorm.fits|912.83890|0.60688776|16.5400|18.0000|0.0000|6|6|6|-139.5131|139.5131|1466.14720|1467.51243|0.60688776|HI|a|
