#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.25 13.84 14.57 4.60 7.10  997
1.071e+01 14.21 13.77 14.54 4.60 7.10  997
2.143e+01 14.11 13.61 14.46 4.60 7.10  997
3.214e+01 13.95 13.32 14.35 4.60 7.10  997
4.286e+01 13.82 13.10 14.26 4.60 7.10  997
5.357e+01 13.71 12.93 14.20 4.60 7.10  997
6.429e+01 13.62 12.84 14.13 4.60 7.10  997
7.500e+01 13.55 12.69 14.08 4.60 7.10  997
8.571e+01 13.46 12.52 14.03 4.60 7.10  997
9.643e+01 13.40 12.42 14.00 4.60 7.10  997
1.071e+02 13.35 12.41 13.99 4.60 7.10  997
1.179e+02 13.25 12.20 13.90 4.60 7.10  997
1.286e+02 13.21 12.07 13.91 4.60 7.10  997
1.393e+02 13.14 12.04 13.88 4.60 7.10  997
1.500e+02 13.04 11.93 13.80 4.60 7.10  997
