#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.32 14.08 14.60 6.60 6.85
7.143e-02 14.23 13.97 14.46 6.60 6.85
1.429e-01 14.09 13.83 14.33 6.60 6.85
2.143e-01 13.91 13.56 14.17 6.60 6.85
2.857e-01 13.79 13.46 14.08 6.60 6.85
3.571e-01 13.70 13.26 13.99 6.60 6.85
4.286e-01 13.63 13.20 13.89 6.60 6.85
5.000e-01 13.53 13.09 13.83 6.60 6.85
5.714e-01 13.45 12.99 13.76 6.60 6.85
6.429e-01 13.34 12.71 13.66 6.60 6.85
7.143e-01 13.25 12.43 13.58 6.60 6.85
7.857e-01 13.07 12.24 13.44 6.60 6.85
8.571e-01 13.06  9.86 13.31 6.60 6.85
9.286e-01   nan   nan   nan 6.60 6.85
1.000e+00   nan   nan   nan 6.60 6.85
