#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.31 13.98 14.59 6.85 7.10
7.143e-02 14.23 13.98 14.47 6.85 7.10
1.429e-01 14.08 13.80 14.31 6.85 7.10
2.143e-01 13.93 13.61 14.18 6.85 7.10
2.857e-01 13.83 13.41 14.08 6.85 7.10
3.571e-01 13.73 13.35 14.00 6.85 7.10
4.286e-01 13.66 13.26 13.94 6.85 7.10
5.000e-01 13.59 13.20 13.92 6.85 7.10
5.714e-01 13.46 13.03 13.80 6.85 7.10
6.429e-01 13.31 12.87 13.67 6.85 7.10
7.143e-01 13.11 12.66 13.56 6.85 7.10
7.857e-01 12.92 12.04 13.47 6.85 7.10
8.571e-01 12.49 11.58 13.16 6.85 7.10
9.286e-01 12.48 12.35 12.59 6.85 7.10
1.000e+00   nan   nan   nan 6.85 7.10
