#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.06 13.54 14.50 8.10 8.60
1.071e+01 13.90 13.26 14.24 8.10 8.60
2.143e+01 13.82 13.10 14.19 8.10 8.60
3.214e+01 13.76 13.08 14.13 8.10 8.60
4.286e+01 13.72 12.89 14.03 8.10 8.60
5.357e+01 13.64 12.86 13.98 8.10 8.60
6.429e+01 13.56 12.76 13.95 8.10 8.60
7.500e+01 13.52 12.71 13.94 8.10 8.60
8.571e+01 13.48 12.61 13.89 8.10 8.60
9.643e+01 13.42 12.66 13.81 8.10 8.60
1.071e+02 13.38 12.53 13.82 8.10 8.60
1.179e+02 13.33 12.37 13.71 8.10 8.60
1.286e+02 13.29 12.39 13.69 8.10 8.60
1.393e+02 13.26 12.40 13.71 8.10 8.60
1.500e+02 13.27 12.17 13.68 8.10 8.60
