#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.25 13.91 14.49 6.10 6.60
1.071e+01 14.21 13.97 14.44 6.10 6.60
2.143e+01 14.14 13.89 14.35 6.10 6.60
3.214e+01 14.02 13.71 14.23 6.10 6.60
4.286e+01 13.88 13.58 14.14 6.10 6.60
5.357e+01 13.75 13.44 14.06 6.10 6.60
6.429e+01 13.67 13.31 14.00 6.10 6.60
7.500e+01 13.62 13.21 13.91 6.10 6.60
8.571e+01 13.56 13.08 13.87 6.10 6.60
9.643e+01 13.51 12.97 13.82 6.10 6.60
1.071e+02 13.45 12.95 13.76 6.10 6.60
1.179e+02 13.39 12.88 13.72 6.10 6.60
1.286e+02 13.33 12.79 13.70 6.10 6.60
1.393e+02 13.25 12.68 13.70 6.10 6.60
1.500e+02 13.18 12.64 13.64 6.10 6.60
