#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.34 14.08 14.62 6.60 6.85
1.071e+01 14.28 14.02 14.55 6.60 6.85
2.143e+01 14.21 13.94 14.42 6.60 6.85
3.214e+01 14.08 13.78 14.34 6.60 6.85
4.286e+01 13.94 13.60 14.20 6.60 6.85
5.357e+01 13.84 13.48 14.13 6.60 6.85
6.429e+01 13.74 13.38 14.06 6.60 6.85
7.500e+01 13.70 13.31 14.01 6.60 6.85
8.571e+01 13.64 13.23 13.93 6.60 6.85
9.643e+01 13.57 13.13 13.86 6.60 6.85
1.071e+02 13.53 13.04 13.84 6.60 6.85
1.179e+02 13.47 12.99 13.81 6.60 6.85
1.286e+02 13.40 12.90 13.76 6.60 6.85
1.393e+02 13.34 12.70 13.72 6.60 6.85
1.500e+02 13.33 12.63 13.67 6.60 6.85
