#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.23 13.91 14.49 5.60 6.60
1.071e+01 14.21 13.97 14.44 5.60 6.60
2.143e+01 14.14 13.86 14.35 5.60 6.60
3.214e+01 14.00 13.69 14.23 5.60 6.60
4.286e+01 13.86 13.55 14.13 5.60 6.60
5.357e+01 13.73 13.40 14.06 5.60 6.60
6.429e+01 13.66 13.27 14.00 5.60 6.60
7.500e+01 13.61 13.17 13.91 5.60 6.60
8.571e+01 13.56 13.06 13.87 5.60 6.60
9.643e+01 13.51 12.97 13.81 5.60 6.60
1.071e+02 13.45 12.94 13.75 5.60 6.60
1.179e+02 13.39 12.86 13.71 5.60 6.60
1.286e+02 13.33 12.72 13.68 5.60 6.60
1.393e+02 13.24 12.66 13.69 5.60 6.60
1.500e+02 13.18 12.59 13.64 5.60 6.60
