#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.32 14.01 14.61 6.60 7.10
1.071e+01 14.27 13.98 14.54 6.60 7.10
2.143e+01 14.19 13.93 14.44 6.60 7.10
3.214e+01 14.08 13.79 14.35 6.60 7.10
4.286e+01 13.96 13.60 14.25 6.60 7.10
5.357e+01 13.88 13.49 14.18 6.60 7.10
6.429e+01 13.79 13.37 14.11 6.60 7.10
7.500e+01 13.72 13.30 14.02 6.60 7.10
8.571e+01 13.67 13.24 13.98 6.60 7.10
9.643e+01 13.62 13.16 13.92 6.60 7.10
1.071e+02 13.56 13.09 13.90 6.60 7.10
1.179e+02 13.51 13.04 13.87 6.60 7.10
1.286e+02 13.45 12.96 13.82 6.60 7.10
1.393e+02 13.42 12.87 13.79 6.60 7.10
1.500e+02 13.38 12.79 13.79 6.60 7.10
