#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.23 13.93 14.49 6.10 6.60
7.143e-02 14.19 13.97 14.39 6.10 6.60
1.429e-01 14.03 13.80 14.25 6.10 6.60
2.143e-01 13.87 13.59 14.09 6.10 6.60
2.857e-01 13.72 13.39 14.03 6.10 6.60
3.571e-01 13.65 13.25 13.90 6.10 6.60
4.286e-01 13.57 13.09 13.84 6.10 6.60
5.000e-01 13.47 13.00 13.77 6.10 6.60
5.714e-01 13.39 12.94 13.73 6.10 6.60
6.429e-01 13.27 12.80 13.63 6.10 6.60
7.143e-01 13.15 12.54 13.58 6.10 6.60
7.857e-01 12.99 11.92 13.46 6.10 6.60
8.571e-01 12.73  6.49 13.36 6.10 6.60
9.286e-01  6.20  5.60  6.92 6.10 6.60
1.000e+00  6.00  6.00  6.00 6.10 6.60
