#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.31 14.02 14.60 6.60 7.10
7.143e-02 14.23 13.98 14.47 6.60 7.10
1.429e-01 14.08 13.81 14.32 6.60 7.10
2.143e-01 13.93 13.59 14.18 6.60 7.10
2.857e-01 13.81 13.43 14.08 6.60 7.10
3.571e-01 13.71 13.31 14.00 6.60 7.10
4.286e-01 13.64 13.24 13.92 6.60 7.10
5.000e-01 13.57 13.15 13.88 6.60 7.10
5.714e-01 13.46 13.02 13.78 6.60 7.10
6.429e-01 13.32 12.81 13.67 6.60 7.10
7.143e-01 13.17 12.55 13.57 6.60 7.10
7.857e-01 12.99 12.08 13.44 6.60 7.10
8.571e-01 12.72 11.19 13.27 6.60 7.10
9.286e-01 12.48 12.35 12.59 6.60 7.10
1.000e+00   nan   nan   nan 6.60 7.10
