#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.24 13.81 14.57 7.10 7.60
7.143e-02 14.13 13.71 14.42 7.10 7.60
1.429e-01 13.95 13.52 14.25 7.10 7.60
2.143e-01 13.82 13.34 14.14 7.10 7.60
2.857e-01 13.71 13.20 14.05 7.10 7.60
3.571e-01 13.62 13.05 13.95 7.10 7.60
4.286e-01 13.54 12.92 13.90 7.10 7.60
5.000e-01 13.43 12.76 13.85 7.10 7.60
5.714e-01 13.31 12.60 13.72 7.10 7.60
6.429e-01 13.07 12.23 13.55 7.10 7.60
7.143e-01 12.84 11.25 13.41 7.10 7.60
7.857e-01 12.60 10.07 13.22 7.10 7.60
8.571e-01  8.59  5.94 12.61 7.10 7.60
9.286e-01  5.96  5.96  5.96 7.10 7.60
1.000e+00  5.98  5.98  5.99 7.10 7.60
