#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.14 13.56 14.51 7.60 7.85
7.143e-02 13.95 13.35 14.30 7.60 7.85
1.429e-01 13.80 13.04 14.15 7.60 7.85
2.143e-01 13.71 12.89 14.05 7.60 7.85
2.857e-01 13.58 12.81 13.96 7.60 7.85
3.571e-01 13.49 12.71 13.92 7.60 7.85
4.286e-01 13.34 12.58 13.85 7.60 7.85
5.000e-01 13.13 12.07 13.77 7.60 7.85
5.714e-01 12.70 11.40 13.33 7.60 7.85
6.429e-01 11.56  9.58 12.93 7.60 7.85
7.143e-01 12.07 10.37 12.53 7.60 7.85
7.857e-01   nan   nan   nan 7.60 7.85
8.571e-01   nan   nan   nan 7.60 7.85
9.286e-01   nan   nan   nan 7.60 7.85
1.000e+00   nan   nan   nan 7.60 7.85
