#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.05 13.45 14.44  7.8  8.1
7.143e-02 13.82 13.18 14.20  7.8  8.1
1.429e-01 13.66 12.97 14.04  7.8  8.1
2.143e-01 13.57 12.90 13.94  7.8  8.1
2.857e-01 13.41 12.77 13.84  7.8  8.1
3.571e-01 13.36 12.63 13.77  7.8  8.1
4.286e-01 13.22 12.39 13.67  7.8  8.1
5.000e-01 12.97 11.59 13.47  7.8  8.1
5.714e-01 12.68 10.78 13.57  7.8  8.1
6.429e-01 12.11  6.29 12.45  7.8  8.1
7.143e-01  6.28  6.28  6.28  7.8  8.1
7.857e-01  6.27  6.27  6.27  7.8  8.1
8.571e-01  6.27  6.27  6.27  7.8  8.1
9.286e-01   nan   nan   nan  7.8  8.1
1.000e+00   nan   nan   nan  7.8  8.1
