#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.27 13.90 14.57 5.60 7.60
7.143e-02 14.18 13.85 14.44 5.60 7.60
1.429e-01 14.01 13.66 14.28 5.60 7.60
2.143e-01 13.87 13.46 14.15 5.60 7.60
2.857e-01 13.75 13.31 14.06 5.60 7.60
3.571e-01 13.66 13.19 13.97 5.60 7.60
4.286e-01 13.58 13.08 13.90 5.60 7.60
5.000e-01 13.50 12.95 13.85 5.60 7.60
5.714e-01 13.39 12.80 13.75 5.60 7.60
6.429e-01 13.25 12.58 13.62 5.60 7.60
7.143e-01 13.10 12.23 13.54 5.60 7.60
7.857e-01 12.95 11.92 13.44 5.60 7.60
8.571e-01 12.66  6.76 13.26 5.60 7.60
9.286e-01  6.19  5.58 11.65 5.60 7.60
1.000e+00  5.99  5.98  5.99 5.60 7.60
