#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.27 13.89 14.58 5.60 7.60
1.071e+01 14.23 13.87 14.50 5.60 7.60
2.143e+01 14.14 13.82 14.41 5.60 7.60
3.214e+01 14.02 13.65 14.31 5.60 7.60
4.286e+01 13.90 13.51 14.21 5.60 7.60
5.357e+01 13.81 13.38 14.15 5.60 7.60
6.429e+01 13.73 13.27 14.08 5.60 7.60
7.500e+01 13.67 13.18 14.01 5.60 7.60
8.571e+01 13.61 13.10 13.97 5.60 7.60
9.643e+01 13.56 13.00 13.92 5.60 7.60
1.071e+02 13.52 12.93 13.89 5.60 7.60
1.179e+02 13.47 12.86 13.85 5.60 7.60
1.286e+02 13.41 12.81 13.82 5.60 7.60
1.393e+02 13.36 12.69 13.80 5.60 7.60
1.500e+02 13.32 12.63 13.76 5.60 7.60
