#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.28 13.89 14.58 6.60 7.60
7.143e-02 14.18 13.84 14.45 6.60 7.60
1.429e-01 14.01 13.63 14.28 6.60 7.60
2.143e-01 13.87 13.45 14.16 6.60 7.60
2.857e-01 13.76 13.30 14.07 6.60 7.60
3.571e-01 13.67 13.18 13.98 6.60 7.60
4.286e-01 13.58 13.08 13.91 6.60 7.60
5.000e-01 13.50 12.94 13.86 6.60 7.60
5.714e-01 13.39 12.76 13.76 6.60 7.60
6.429e-01 13.24 12.51 13.61 6.60 7.60
7.143e-01 13.08 12.17 13.53 6.60 7.60
7.857e-01 12.90 11.92 13.43 6.60 7.60
8.571e-01 12.62  9.83 13.24 6.60 7.60
9.286e-01 11.97  5.96 12.49 6.60 7.60
1.000e+00  5.98  5.98  5.99 6.60 7.60
