#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.23 13.73 14.59 7.35 7.60
1.071e+01 14.13 13.73 14.46 7.35 7.60
2.143e+01 14.03 13.57 14.40 7.35 7.60
3.214e+01 13.91 13.48 14.25 7.35 7.60
4.286e+01 13.83 13.38 14.20 7.35 7.60
5.357e+01 13.74 13.25 14.12 7.35 7.60
6.429e+01 13.69 13.11 14.05 7.35 7.60
7.500e+01 13.61 12.93 14.01 7.35 7.60
8.571e+01 13.56 12.84 13.97 7.35 7.60
9.643e+01 13.53 12.78 13.93 7.35 7.60
1.071e+02 13.50 12.69 13.88 7.35 7.60
1.179e+02 13.45 12.66 13.85 7.35 7.60
1.286e+02 13.39 12.60 13.85 7.35 7.60
1.393e+02 13.37 12.49 13.84 7.35 7.60
1.500e+02 13.29 12.33 13.80 7.35 7.60
