#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.06 13.47 14.46 7.60 8.60
7.143e-02 13.86 13.22 14.24 7.60 8.60
1.429e-01 13.73 12.97 14.08 7.60 8.60
2.143e-01 13.59 12.85 13.98 7.60 8.60
2.857e-01 13.45 12.76 13.88 7.60 8.60
3.571e-01 13.37 12.57 13.83 7.60 8.60
4.286e-01 13.25 12.45 13.78 7.60 8.60
5.000e-01 13.08 11.93 13.68 7.60 8.60
5.714e-01 12.70 11.26 13.35 7.60 8.60
6.429e-01 11.56  9.56 12.89 7.60 8.60
7.143e-01 10.40  9.74 12.46 7.60 8.60
7.857e-01  6.27  6.27  6.27 7.60 8.60
8.571e-01  6.27  6.27  6.27 7.60 8.60
9.286e-01   nan   nan   nan 7.60 8.60
1.000e+00   nan   nan   nan 7.60 8.60
