#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.23 13.92 14.49 5.60 6.60
7.143e-02 14.18 13.95 14.40 5.60 6.60
1.429e-01 14.02 13.76 14.25 5.60 6.60
2.143e-01 13.85 13.58 14.09 5.60 6.60
2.857e-01 13.70 13.36 14.03 5.60 6.60
3.571e-01 13.64 13.24 13.90 5.60 6.60
4.286e-01 13.56 13.08 13.83 5.60 6.60
5.000e-01 13.47 13.00 13.76 5.60 6.60
5.714e-01 13.39 12.93 13.72 5.60 6.60
6.429e-01 13.29 12.77 13.63 5.60 6.60
7.143e-01 13.14 12.46 13.58 5.60 6.60
7.857e-01 12.99 11.92 13.45 5.60 6.60
8.571e-01 12.70  6.18 13.26 5.60 6.60
9.286e-01  6.19  5.54  6.92 5.60 6.60
1.000e+00  6.00  6.00  6.00 5.60 6.60
