#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.28 13.88 14.60 6.60 7.60
1.071e+01 14.24 13.86 14.52 6.60 7.60
2.143e+01 14.14 13.80 14.43 6.60 7.60
3.214e+01 14.03 13.64 14.33 6.60 7.60
4.286e+01 13.92 13.50 14.23 6.60 7.60
5.357e+01 13.83 13.38 14.16 6.60 7.60
6.429e+01 13.75 13.27 14.10 6.60 7.60
7.500e+01 13.68 13.18 14.02 6.60 7.60
8.571e+01 13.62 13.11 13.99 6.60 7.60
9.643e+01 13.58 13.04 13.95 6.60 7.60
1.071e+02 13.54 12.93 13.91 6.60 7.60
1.179e+02 13.49 12.86 13.88 6.60 7.60
1.286e+02 13.43 12.84 13.84 6.60 7.60
1.393e+02 13.41 12.69 13.82 6.60 7.60
1.500e+02 13.36 12.65 13.79 6.60 7.60
