#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.17 13.45 14.53 7.60 8.10
1.071e+01 14.02 13.45 14.39 7.60 8.10
2.143e+01 13.92 13.29 14.29 7.60 8.10
3.214e+01 13.81 13.09 14.21 7.60 8.10
4.286e+01 13.73 12.95 14.13 7.60 8.10
5.357e+01 13.67 12.83 14.07 7.60 8.10
6.429e+01 13.65 12.81 14.01 7.60 8.10
7.500e+01 13.57 12.76 13.97 7.60 8.10
8.571e+01 13.50 12.73 13.94 7.60 8.10
9.643e+01 13.44 12.68 13.90 7.60 8.10
1.071e+02 13.39 12.61 13.88 7.60 8.10
1.179e+02 13.36 12.57 13.84 7.60 8.10
1.286e+02 13.33 12.47 13.82 7.60 8.10
1.393e+02 13.30 12.42 13.79 7.60 8.10
1.500e+02 13.26 12.32 13.79 7.60 8.10
