#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 13.96 13.41 14.38 8.10 8.60
7.143e-02 13.77 13.11 14.17 8.10 8.60
1.429e-01 13.70 12.90 13.99 8.10 8.60
2.143e-01 13.52 12.68 13.83 8.10 8.60
2.857e-01 13.31 12.61 13.69 8.10 8.60
3.571e-01 13.15 12.18 13.50 8.10 8.60
4.286e-01 12.68 11.74 13.20 8.10 8.60
5.000e-01 12.19  9.20 12.93 8.10 8.60
5.714e-01 12.92 12.43 13.15 8.10 8.60
6.429e-01   nan   nan   nan 8.10 8.60
7.143e-01   nan   nan   nan 8.10 8.60
7.857e-01   nan   nan   nan 8.10 8.60
8.571e-01   nan   nan   nan 8.10 8.60
9.286e-01   nan   nan   nan 8.10 8.60
1.000e+00   nan   nan   nan 8.10 8.60
