#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.22 13.74 14.53 5.60 6.10
7.143e-02 14.07 13.80 14.48 5.60 6.10
1.429e-01 13.81 13.25 14.13 5.60 6.10
2.143e-01 13.64 12.56 14.09 5.60 6.10
2.857e-01 13.55 12.20 13.90 5.60 6.10
3.571e-01 13.53 12.29 13.87 5.60 6.10
4.286e-01 13.50 12.19 13.74 5.60 6.10
5.000e-01 13.50  9.86 13.61 5.60 6.10
5.714e-01 13.39 12.15 13.61 5.60 6.10
6.429e-01 13.41 12.21 13.53 5.60 6.10
7.143e-01 13.08 12.02 13.54 5.60 6.10
7.857e-01 12.83 12.22 13.27 5.60 6.10
8.571e-01 12.64  4.92 13.21 5.60 6.10
9.286e-01  4.87  4.87  4.87 5.60 6.10
1.000e+00   nan   nan   nan 5.60 6.10
