#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.23 13.74 14.56 7.35 7.60
7.143e-02 14.07 13.66 14.40 7.35 7.60
1.429e-01 13.89 13.50 14.20 7.35 7.60
2.143e-01 13.76 13.29 14.09 7.35 7.60
2.857e-01 13.67 13.14 14.01 7.35 7.60
3.571e-01 13.60 12.90 13.91 7.35 7.60
4.286e-01 13.51 12.79 13.86 7.35 7.60
5.000e-01 13.38 12.58 13.83 7.35 7.60
5.714e-01 13.16 12.35 13.66 7.35 7.60
6.429e-01 12.90 11.86 13.50 7.35 7.60
7.143e-01 12.41 10.24 13.15 7.35 7.60
7.857e-01 12.41 10.23 13.10 7.35 7.60
8.571e-01 10.33  9.85 12.88 7.35 7.60
9.286e-01   nan   nan   nan 7.35 7.60
1.000e+00   nan   nan   nan 7.35 7.60
