#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.31 13.97 14.60 6.85 7.10
1.071e+01 14.26 13.96 14.53 6.85 7.10
2.143e+01 14.19 13.93 14.44 6.85 7.10
3.214e+01 14.08 13.79 14.36 6.85 7.10
4.286e+01 13.96 13.63 14.26 6.85 7.10
5.357e+01 13.88 13.49 14.19 6.85 7.10
6.429e+01 13.82 13.36 14.12 6.85 7.10
7.500e+01 13.75 13.29 14.04 6.85 7.10
8.571e+01 13.68 13.26 13.99 6.85 7.10
9.643e+01 13.64 13.18 13.98 6.85 7.10
1.071e+02 13.59 13.15 13.93 6.85 7.10
1.179e+02 13.53 13.07 13.91 6.85 7.10
1.286e+02 13.48 12.97 13.88 6.85 7.10
1.393e+02 13.47 12.91 13.84 6.85 7.10
1.500e+02 13.41 12.84 13.80 6.85 7.10
