#R/R200 median 16percentile 84percentile lowparam highparam  
0.000e+00 14.11 13.50 14.47 7.60 8.10
7.143e-02 13.89 13.26 14.26 7.60 8.10
1.429e-01 13.74 13.00 14.10 7.60 8.10
2.143e-01 13.62 12.89 14.00 7.60 8.10
2.857e-01 13.50 12.80 13.92 7.60 8.10
3.571e-01 13.43 12.68 13.87 7.60 8.10
4.286e-01 13.30 12.51 13.80 7.60 8.10
5.000e-01 13.10 11.97 13.69 7.60 8.10
5.714e-01 12.70 11.27 13.35 7.60 8.10
6.429e-01 11.56  9.56 12.89 7.60 8.10
7.143e-01 10.40  9.74 12.46 7.60 8.10
7.857e-01  6.27  6.27  6.27 7.60 8.10
8.571e-01  6.27  6.27  6.27 7.60 8.10
9.286e-01   nan   nan   nan 7.60 8.10
1.000e+00   nan   nan   nan 7.60 8.10
