,specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment 
0,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1235+1123/J1235+1123_nbin3_allvisits_jwnorm.fits,1215.67,0.22491,14.204,0.07,60.8,9.217,8.356,6.451,2,2,2,-83.6542,83.6542,1488.7459881138286,1489.4244301399715,2882,2901,0.22494,H I,c,-- 
1,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1235+1123/J1235+1123_nbin3_allvisits_jwnorm.fits,1526.707,-1e-05,14.765,0.282,31.437,8.277,-17.092,4.093,2,2,2,-101.0149,101.0149,1526.1746075941903,1527.20345372303,3902,3930,-7e-05,SiII,a,-- 
2,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1235+1123/J1235+1123_nbin3_allvisits_jwnorm.fits,1548.204,0.00012,14.583,0.055,52.7,6.09,-24.668,5.16,2,2,2,-144.697,144.697,1547.639358794016,1549.1338625295834,4487,4528,4e-05,C IV,a,-- 
3,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1235+1123/J1235+1123_nbin3_allvisits_jwnorm.fits,1550.781,0.00012,14.583,0.0,52.7,0.0,-24.668,0.0,2,2,2,-144.697,144.697,1550.2154189434616,1551.712410294438,4558,4598,4e-05,C IV,a,-- 
4,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1235+1123/J1235+1123_nbin3_allvisits_jwnorm.fits,1393.7602,-0.00016,13.766,0.064,47.7,8.558,26.955,6.04,2,2,2,-141.0569,141.0569,1392.8764651987822,1394.188035839798,269,305,-7e-05,SiIV,b,-- 
5,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1235+1123/J1235+1123_nbin3_allvisits_jwnorm.fits,1402.7729,-0.00016,13.766,0.0,47.7,0.0,26.955,0.0,2,2,2,-141.0569,141.0569,1401.8834505596046,1403.2035024248055,515,551,-7e-05,SiIV,b,-- 
6,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1235+1123/J1235+1123_nbin3_allvisits_jwnorm.fits,1215.67,0.21904,13.865,0.092,49.562,12.735,6.179,8.838,2,2,2,-77.3168,77.3168,1481.6359953764809,1482.2630405989191,2688,2705,0.21906,H I,c,-- 
7,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1235+1123/J1235+1123_nbin3_allvisits_jwnorm.fits,1548.204,0.0044,14.025,0.209,85.0,50.446,-20.502,35.449,2,2,2,-106.4752,106.4752,1554.4646535966249,1555.564383267215,4673,4703,0.00433,C IV,c,-- 
8,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1235+1123/J1235+1123_nbin3_allvisits_jwnorm.fits,1550.781,0.0044,14.025,0.0,85.0,0.0,-20.502,0.0,2,2,2,-106.4752,106.4752,1557.0520745129372,1558.1536346938224,4744,4774,0.00433,C IV,c,-- 
9,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1235+1123/J1235+1123_nbin3_allvisits_jwnorm.fits,1548.204,0.00515,14.234,0.13,65.5,23.543,-72.329,16.739,3,3,3,-109.2053,109.2053,1555.6169715640258,1556.744899087014,4705,4735,0.00491,C IV,c,-- 
10,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1235+1123/J1235+1123_nbin3_allvisits_jwnorm.fits,1550.781,0.00515,14.234,0.0,65.5,0.0,-72.329,0.0,3,3,3,-109.2053,109.2053,1558.2063105243442,1559.3361154932156,4775,4806,0.00491,C IV,c,-- 
