R/R200,median,16percentile,84percentile,lowparam,highparam,n
0.00E+00,14.13,13.49,14.6,7.1,9.6,996
7.14E-02,13.97,13.11,14.42,7.1,9.6,996
1.43E-01,13.8,12.8,14.29,7.1,9.6,996
2.14E-01,13.66,12.46,14.2,7.1,9.6,996
2.86E-01,13.54,12.3,14.15,7.1,9.6,996
3.57E-01,13.46,12.16,14.11,7.1,9.6,996
4.29E-01,13.36,11.99,14.01,7.1,9.6,996
5.00E-01,13.28,11.72,13.98,7.1,9.6,996
5.71E-01,13.04,11.49,13.85,7.1,9.6,996
6.43E-01,12.82,11.27,13.77,7.1,9.6,996
7.14E-01,12.52,10.68,13.55,7.1,9.6,996
7.86E-01,12.15,9.57,13.52,7.1,9.6,996
8.57E-01,10.96,6,12.18,7.1,9.6,996
9.29E-01,5.76,5.74,5.78,7.1,9.6,996
1.00E+00,5.91,5.87,5.94,7.1,9.6,996
