R(kpc),median,16percentile,84percentile,lowparam,highparam,n
0.00E+00,14.18,13.55,14.64,7.1,9.6,996
1.07E+01,14.08,13.36,14.53,7.1,9.6,996
2.14E+01,13.97,13.11,14.43,7.1,9.6,996
3.21E+01,13.89,12.92,14.39,7.1,9.6,996
4.29E+01,13.78,12.77,14.29,7.1,9.6,996
5.36E+01,13.72,12.55,14.27,7.1,9.6,996
6.43E+01,13.65,12.49,14.2,7.1,9.6,996
7.50E+01,13.57,12.34,14.19,7.1,9.6,996
8.57E+01,13.51,12.22,14.14,7.1,9.6,996
9.64E+01,13.46,12.04,14.14,7.1,9.6,996
1.07E+02,13.43,12,14.08,7.1,9.6,996
1.18E+02,13.41,11.95,14.07,7.1,9.6,996
1.29E+02,13.34,11.88,14.01,7.1,9.6,996
1.39E+02,13.27,11.72,14.01,7.1,9.6,996
1.50E+02,13.25,11.72,13.97,7.1,9.6,996
