R/R200,median,16percentile,84percentile,lowparam,highparam,n
0.00E+00,14.26,13.84,14.58,4.6,7.1,997
7.14E-02,14.18,13.74,14.5,4.6,7.1,997
1.43E-01,14,13.44,14.39,4.6,7.1,997
2.14E-01,13.85,13.16,14.27,4.6,7.1,997
2.86E-01,13.7,12.93,14.16,4.6,7.1,997
3.57E-01,13.59,12.8,14.09,4.6,7.1,997
4.29E-01,13.49,12.59,14.05,4.6,7.1,997
5.00E-01,13.41,12.46,14,4.6,7.1,997
5.71E-01,13.29,12.34,13.92,4.6,7.1,997
6.43E-01,13.16,12.16,13.83,4.6,7.1,997
7.14E-01,13.05,11.92,13.78,4.6,7.1,997
7.86E-01,12.8,11.73,13.64,4.6,7.1,997
8.57E-01,12.73,11.55,13.56,4.6,7.1,997
9.29E-01,12.56,11.35,13.32,4.6,7.1,997
1.00E+00,12.69,8.97,13.46,4.6,7.1,997
