R(kpc),median,16percentile,84percentile,lowparam,highparam,n
0.00E+00,14.43,12.54,15.04,8.12,10.72,1513
1.07E+01,14.36,12.77,14.89,8.12,10.72,1513
2.14E+01,14.2,12.17,14.76,8.12,10.72,1513
3.21E+01,14.1,11.62,14.68,8.12,10.72,1513
4.29E+01,13.93,11.38,14.6,8.12,10.72,1513
5.36E+01,13.69,11.08,14.5,8.12,10.72,1513
6.43E+01,13.31,10.92,14.42,8.12,10.72,1513
7.50E+01,13.08,10.77,14.36,8.12,10.72,1513
8.57E+01,12.7,10.73,14.27,8.12,10.72,1513
9.64E+01,12.56,10.62,14.18,8.12,10.72,1513
1.07E+02,12.36,10.59,14.13,8.12,10.72,1513
1.18E+02,12.04,10.49,14.05,8.12,10.72,1513
1.29E+02,11.98,10.43,13.97,8.12,10.72,1513
1.39E+02,11.86,10.44,13.93,8.12,10.72,1513
1.50E+02,11.76,10.34,13.87,8.12,10.72,1513
