R/R200,median,16percentile,84percentile,lowparam,highparam,n
0.00E+00,14.71,13.68,15.32,5.52,10.72,3049
7.14E-02,14.48,13.29,14.96,5.52,10.72,3049
1.43E-01,14.26,12.09,14.79,5.52,10.72,3049
2.14E-01,14.05,11.5,14.65,5.52,10.72,3049
2.86E-01,13.78,11.21,14.51,5.52,10.72,3049
3.57E-01,13.52,11.09,14.41,5.52,10.72,3049
4.29E-01,13.44,11.12,14.33,5.52,10.72,3049
5.00E-01,13.31,11.23,14.24,5.52,10.72,3049
5.71E-01,13.34,11.5,14.18,5.52,10.72,3049
6.43E-01,13.34,11.76,14.12,5.52,10.72,3049
7.14E-01,13.35,11.96,14.06,5.52,10.72,3049
7.86E-01,13.24,12,13.99,5.52,10.72,3049
8.57E-01,13.09,11.83,13.93,5.52,10.72,3049
9.29E-01,12.89,11.21,13.76,5.52,10.72,3049
1.00E+00,12.63,8.2,13.9,5.52,10.72,3049
