R(kpc),median,16percentile,84percentile,lowparam,highparam,n
0.00E+00,15.09,14.59,15.77,5.52,8.12,1536
1.07E+01,14.79,14.36,15.16,5.52,8.12,1536
2.14E+01,14.64,14.15,14.99,5.52,8.12,1536
3.21E+01,14.51,13.98,14.87,5.52,8.12,1536
4.29E+01,14.38,13.71,14.74,5.52,8.12,1536
5.36E+01,14.25,13.43,14.66,5.52,8.12,1536
6.43E+01,14.11,13.23,14.57,5.52,8.12,1536
7.50E+01,13.99,13.01,14.46,5.52,8.12,1536
8.57E+01,13.85,12.83,14.4,5.52,8.12,1536
9.64E+01,13.76,12.67,14.3,5.52,8.12,1536
1.07E+02,13.66,12.58,14.25,5.52,8.12,1536
1.18E+02,13.51,12.42,14.15,5.52,8.12,1536
1.29E+02,13.41,12.29,14.08,5.52,8.12,1536
1.39E+02,13.22,12.1,13.99,5.52,8.12,1536
1.50E+02,13.15,11.95,13.93,5.52,8.12,1536
