R/R200,median,16percentile,84percentile,lowparam,highparam,n
0.00E+00,14.39,12.43,14.97,8.12,10.72,1513
7.14E-02,14.17,11.77,14.75,8.12,10.72,1513
1.43E-01,13.89,11.1,14.61,8.12,10.72,1513
2.14E-01,13.4,10.82,14.46,8.12,10.72,1513
2.86E-01,12.7,10.65,14.3,8.12,10.72,1513
3.57E-01,12.38,10.62,14.21,8.12,10.72,1513
4.29E-01,12.2,10.57,14.11,8.12,10.72,1513
5.00E-01,12.27,10.61,14.08,8.12,10.72,1513
5.71E-01,12.43,10.59,14.04,8.12,10.72,1513
6.43E-01,12.62,10.6,14.01,8.12,10.72,1513
7.14E-01,12.55,10.41,14,8.12,10.72,1513
7.86E-01,12.35,9.89,13.86,8.12,10.72,1513
8.57E-01,11.92,8.32,13.79,8.12,10.72,1513
9.29E-01,9.36,4.88,14.07,8.12,10.72,1513
1.00E+00,4.44,-inf,4.81,8.12,10.72,1513
