R(kpc),median,16percentile,84percentile,lowparam,highparam,n
0.00E+00,14.25,13.84,14.57,4.6,7.1,997
1.07E+01,14.21,13.77,14.54,4.6,7.1,997
2.14E+01,14.11,13.61,14.46,4.6,7.1,997
3.21E+01,13.95,13.32,14.35,4.6,7.1,997
4.29E+01,13.82,13.1,14.26,4.6,7.1,997
5.36E+01,13.71,12.93,14.2,4.6,7.1,997
6.43E+01,13.62,12.84,14.13,4.6,7.1,997
7.50E+01,13.55,12.69,14.08,4.6,7.1,997
8.57E+01,13.46,12.52,14.03,4.6,7.1,997
9.64E+01,13.4,12.42,14,4.6,7.1,997
1.07E+02,13.35,12.41,13.99,4.6,7.1,997
1.18E+02,13.25,12.2,13.9,4.6,7.1,997
1.29E+02,13.21,12.07,13.91,4.6,7.1,997
1.39E+02,13.14,12.04,13.88,4.6,7.1,997
1.50E+02,13.04,11.93,13.8,4.6,7.1,997
