,specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment 
20,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1025.7222,0.37589,15.182,0.074,25.5,1.219,-9.826,0.682,2,2,2,-79.8518,79.8518,1411.0027963281605,1411.5492127691634,763,778,0.37584,H I,b,-- 
21,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1215.67,0.37589,15.182,0.0,25.5,0.0,-9.826,0.0,2,2,2,-79.8518,79.8518,1672.2985711065385,1672.946175374862,7885,7903,0.37584,H I,b,-- 
22,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1670.7886,-0.00012,13.798,0.15,28.7,2.847,-7.628,1.014,2,2,2,-73.5143,73.5143,1670.1725011987792,1670.9919137697052,7827,7849,-0.00015,AlII,b,-- 
23,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1025.7616,0.38828,15.732,0.017,34.3,1.109,-10.933,0.841,7,7,7,-84.9217,84.9217,1423.750906943493,1424.332038433243,1111,1127,0.38823,O I,c,-- 
24,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1039.2304,0.38828,15.732,0.0,34.3,0.0,-10.933,0.0,7,7,7,-84.9217,84.9217,1442.4455200148343,1443.034282072749,1620,1636,0.38823,O I,c,-- 
25,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1031.9261,0.3688,14.265,0.021,22.228,1.463,-20.606,0.988,2,2,2,-77.3168,77.3168,1412.234135392397,1412.7664051127283,797,811,0.36871,O VI,c,-- 
26,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1037.6167,0.3688,14.265,0.0,22.228,0.0,-20.606,0.0,2,2,2,-77.3168,77.3168,1420.021960093085,1420.5571650372372,1009,1024,0.36871,O VI,c,-- 
27,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1031.9261,0.36981,14.266,0.163,62.529,12.289,49.619,16.251,3,3,3,-64.6419,64.6419,1413.3195244645171,1413.764536752075,826,838,0.37004,O VI,c,-- 
28,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1037.6167,0.36981,14.266,0.0,62.529,0.0,49.619,0.0,3,3,3,-64.6419,64.6419,1421.1133345890191,1421.5608009156051,1039,1051,0.37004,O VI,c,-- 
29,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1031.9261,0.37056,14.647,0.143,73.121,18.901,7.268,7.803,4,4,4,-89.9917,89.9917,1414.0095137702638,1414.629040923368,845,862,0.3706,O VI,b,-- 
