,specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment 
20,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1025.7222,0.37589,15.095,0.085,25.5,1.606,-12.974,0.962,2,2,2,-79.8518,79.8518,1411.0027963281605,1411.5492127691634,763,778,0.37583,H I,b,-- 
21,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1215.67,0.37589,15.095,0.0,25.5,0.0,-12.974,0.0,2,2,2,-79.8518,79.8518,1672.2985711065385,1672.946175374862,7885,7903,0.37583,H I,b,-- 
22,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1670.7886,-0.00012,13.664,0.174,26.397,3.677,-1.182,1.442,2,2,2,-73.5143,73.5143,1670.1725011987792,1670.9919137697052,7827,7849,-0.00013,AlII,b,-- 
23,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1025.7616,0.38828,15.684,0.025,34.3,1.787,-19.922,1.364,7,7,7,-84.9217,84.9217,1423.750906943493,1424.332038433243,1111,1127,0.38818,O I,c,-- 
24,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1039.2304,0.38828,15.684,0.0,34.3,0.0,-19.922,0.0,7,7,7,-84.9217,84.9217,1442.4455200148343,1443.034282072749,1620,1636,0.38818,O I,c,-- 
25,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1031.9261,0.3688,14.333,0.032,22.005,2.093,-21.798,1.424,2,2,2,-77.3168,77.3168,1412.234135392397,1412.7664051127283,797,811,0.3687,O VI,c,-- 
26,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1037.6167,0.3688,14.333,0.0,22.005,0.0,-21.798,0.0,2,2,2,-77.3168,77.3168,1420.021960093085,1420.5571650372372,1009,1024,0.3687,O VI,c,-- 
27,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1031.9261,0.36981,14.329,0.241,68.509,21.074,46.429,27.618,3,3,3,-64.6419,64.6419,1413.3195244645171,1413.764536752075,826,838,0.37002,O VI,c,-- 
28,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1037.6167,0.36981,14.329,0.0,68.509,0.0,46.429,0.0,3,3,3,-64.6419,64.6419,1421.1133345890191,1421.5608009156051,1039,1051,0.37002,O VI,c,-- 
29,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_visit12_jwnorm.fits,1031.9261,0.37056,14.65,0.209,72.2,26.723,5.392,11.099,4,4,4,-89.9917,89.9917,1414.0095137702638,1414.629040923368,845,862,0.37059,O VI,b,-- 
