#  ID   M200  MStar   lg_SSFR   MBH   fgas Kappa j  
  924 12.219 10.700  -10.112  6.858  0.351 0.638 0
 1973 11.866 10.073  -10.165  6.618  0.173 0.274 0
  684 12.417 10.743  -10.605  7.932  0.172 0.545 0
 1784 11.681  9.804  -10.252  6.104  0.188 0.525 0
 2423 11.730 10.023  -10.385  5.724  0.229 0.349 0
 3260 11.558  9.733  -9.670  6.097  0.210 0.302 0
   52 13.518 10.918  -12.198  8.540  0.764 0.279 0
 1371 11.990 10.520  -10.970  7.195  0.189 0.600 0
  686 11.981 10.245  -10.175  7.062  0.227 0.355 0
 1596 11.844 10.234  -10.210  6.594  0.162 0.348 0
 3026 11.547  9.516  -9.842  6.145  0.311 0.492 0
 1383 12.020 10.445  -10.146  6.318  0.254 0.623 0
 2142 11.780  9.946  -10.227  6.157  0.312 0.524 0
 3279 11.523  9.506  -9.980  5.907  0.269 0.258 0
 3458 11.571  9.382  -13.000  6.421  0.053 0.158 0
  342 12.590 10.654  -11.356  8.079  0.271 0.313 0
 4587 11.429  9.660  -10.834  6.084  0.032 0.182 0
 2638 11.546  8.746  -9.763  5.648  0.275 0.139 0
 2370 11.742  9.965  -9.968  6.315  0.325 0.487 0
  246 12.869 10.902  -12.199  7.386  0.252 0.217 0
 2729 11.686  9.996  -10.220  6.465  0.209 0.281 0
 3157 11.573  9.713  -9.832  6.098  0.065 0.526 0
   92 13.255 11.170  -10.989  8.576  0.574 0.159 0
   18 13.829 11.318  -10.796  9.219  0.840 0.168 0
  800 12.326 10.384  -13.000  7.699  0.161 0.382 0
  769 12.332 10.725  -10.391  7.476  0.289 0.396 0
    6 14.298 11.572  -11.641  9.463  0.876 0.170 0
 3148 11.626  9.931  -10.373  6.313  0.098 0.485 0
 2252 11.444  9.532  -9.980  5.691  0.253 0.552 0
 1399 12.025 10.408  -10.584  7.116  0.172 0.196 0
 3355 11.505  9.700  -10.631  5.429  0.103 0.424 0
 1632 11.927 10.216  -10.299  6.042  0.271 0.166 0
 1535 11.974 10.144  -10.057  7.046  0.197 0.235 0
 4892 11.379  9.565  -9.961  5.771  0.163 0.430 0
 2208 11.757 10.103  -10.200  6.356  0.299 0.526 0
 4431 11.397  9.617  -10.509  6.179  0.060 0.202 0
 1713 11.980 10.322  -11.933  7.453  0.034 0.342 0
  695 12.379 10.685  -12.644  7.995  0.163 0.502 0
 1078 12.185 10.045  -13.000  7.383  0.141 0.187 0
 1373 11.584  9.441  -10.070  6.026  0.424 0.151 0
 3546 11.521  9.799  -10.113  6.047  0.195 0.454 0
  117 13.191 11.167  -10.568  8.655  0.517 0.252 0
  764 12.191 10.561  -10.241  6.907  0.320 0.491 0
 3393 11.521  9.891  -10.022  6.247  0.144 0.559 0
  180 12.669 10.866  -10.409  7.979  0.487 0.297 0
 2406 11.736 10.140  -10.136  6.047  0.232 0.565 0
  776 12.329 10.385  -10.699  7.673  0.240 0.248 0
 2134 11.526  9.775  -10.284  6.082  0.036 0.448 0
 2719 11.616  9.849  -9.991  5.902  0.207 0.452 0
 2497 11.698 10.107  -10.114  6.569  0.232 0.564 0
  632 12.311 10.613  -10.023  7.019  0.482 0.570 0
 3353 11.502  9.580  -10.181  6.232  0.117 0.177 0
  497 12.541 10.486  -11.033  8.103  0.195 0.184 0
 1450 12.019 10.423  -10.428  6.853  0.209 0.595 0
  708 12.411 10.587  -10.335  7.267  0.339 0.428 0
 1681 11.931 10.196  -10.559  7.100  0.116 0.218 0
  822 12.264 10.772  -13.000  7.842  0.138 0.377 0
 3321 11.583  9.901  -10.416  5.696  0.127 0.335 0
 1079 11.954  9.800  -9.692  6.229  0.424 0.496 0
 2315 11.769 10.104  -11.059  5.906  0.231 0.464 0
  799 12.235 10.374  -10.336  6.592  0.354 0.398 0
 1762 11.749  9.745  -10.224  6.130  0.351 0.369 0
  921 12.320 10.699  -13.000  7.893  0.038 0.334 0
  906 12.266 10.493  -10.212  7.544  0.239 0.549 0
 3171 11.612 10.050  -10.138  5.930  0.079 0.641 0
  154 12.838 10.796  -11.351  8.210  0.294 0.190 0
   20 13.763 11.276  -12.058  8.980  0.770 0.169 0
 3201 11.555  9.736  -10.237  5.748  0.188 0.218 0
 1542 11.764  9.999  -10.208  5.952  0.263 0.553 0
 1181 12.098 10.265  -10.943  7.522  0.182 0.288 0
 1060 12.068 10.397  -10.297  7.456  0.210 0.474 0
 5068 11.350  9.555  -10.346  5.786  0.231 0.566 0
 1073 12.133 10.455  -10.759  7.323  0.147 0.201 0
 3532 11.558  9.673  -10.166  5.979  0.164 0.250 0
  338 12.723 10.838  -12.365  8.156  0.158 0.142 0
  543 12.558 10.662  -10.520  8.059  0.159 0.317 0
 2732 11.603  9.317  -9.915  5.690  0.279 0.338 0
 1061 12.147 10.490  -10.103  6.893  0.111 0.542 0
 2505 11.729 10.115  -10.374  6.689  0.101 0.511 0
 3866 11.421  9.945  -10.954  6.217  0.066 0.274 0
 2952 11.609  9.920  -10.511  6.855  0.142 0.223 0
 3719 11.490  9.693  -10.244  5.804  0.415 0.600 0
  682 12.076 10.251  -10.947  7.100  0.160 0.263 0
 4507 11.240  9.517  -10.457  5.867  0.063 0.323 0
  279 12.727 10.961  -11.332  7.795  0.412 0.349 0
 5285 11.330  9.577  -10.283  5.515  0.112 0.550 0
 3307 11.446  9.964  -10.354  5.886  0.132 0.632 0
 3570 11.546  9.663  -10.359  5.725  0.099 0.211 0
 1897 11.719  9.896  -10.073  5.761  0.177 0.436 0
 2262 11.713  9.644  -10.169  6.522  0.235 0.155 0
  382 12.677 10.890  -13.000  8.068  0.315 0.210 0
 4937 11.408  9.515  -13.000  6.430  0.022 0.185 0
  905 12.254 10.568  -10.153  7.473  0.211 0.760 0
  949 11.964 10.220  -13.000  7.427  0.030 0.403 0
  504 12.470 10.543  -11.429  7.900  0.285 0.412 0
 1475 11.997 10.439  -10.280  6.569  0.143 0.735 0
 2749 11.675  9.712  -10.128  5.760  0.265 0.566 0
  681 12.382 10.551  -9.943  7.364  0.355 0.254 0
 2924 11.582  9.428  -10.253  6.058  0.269 0.243 0
 2713 11.658  9.893  -9.889  5.952  0.179 0.489 0
 7529 11.130  9.618  -10.312  5.239  0.170 0.569 0
 1281 12.125 10.268  -11.514  7.593  0.073 0.165 0
 4026 11.486  9.580  -10.429  5.859  0.120 0.329 0
 2006 11.806  9.900  -9.990  6.172  0.320 0.461 0
 3538 11.515  9.588  -10.556  5.882  0.205 0.195 0
 2214 11.796 10.246  -11.154  6.283  0.119 0.509 0
 3968 11.538  9.428  -10.047  6.006  0.078 0.256 0
 2653 11.664  9.813  -10.105  5.818  0.348 0.537 0
 5431 11.378  9.676  -10.279  5.922  0.043 0.225 0
 4162 11.483  9.755  -10.148  5.685  0.096 0.569 0
 1029 12.166 10.558  -10.356  7.518  0.226 0.444 0
 5037 11.383  9.520  -10.688  5.688  0.055 0.324 0
 2588 11.693  9.835  -11.360  6.740  0.095 0.161 0
 1715 11.905 10.286  -10.465  7.200  0.267 0.350 0
  812 12.109 10.499  -10.388  6.692  0.424 0.538 0
  638 12.032 10.219  -10.879  7.335  0.138 0.204 0
 3967 11.446  9.591  -10.957  6.259  0.067 0.204 0
 4608 11.368  9.578  -10.094  5.533  0.136 0.432 0
 1978 11.875  9.890  -11.218  7.019  0.111 0.173 0
 1098 12.114 10.458  -10.073  7.006  0.279 0.665 0
 2180 11.743 10.182  -10.326  6.312  0.170 0.291 0
 2833 11.430  9.681  -10.165  5.942  0.137 0.273 0
 6929 11.157  9.990  -10.608  5.702  0.011 0.470 0
 1497 11.967 10.226  -10.470  7.272  0.267 0.225 0
 3326 11.528  9.611  -10.185  5.840  0.081 0.136 0
  755 12.351 10.630  -10.330  7.780  0.176 0.582 0
 2746 11.593  9.778  -10.075  6.287  0.168 0.223 0
 3126 11.643  9.824  -10.794  6.677  0.087 0.153 0
 2095 11.834 10.218  -10.401  6.778  0.123 0.512 0
  712 12.094  9.923  -10.404  7.105  0.275 0.182 0
 2434 11.760 10.125  -11.972  7.145  0.033 0.352 0
 2360 11.736 10.017  -10.078  6.329  0.206 0.407 0
  898 12.249 10.420  -10.348  7.221  0.355 0.539 0
 3563 11.450  9.524  -9.858  5.885  0.151 0.195 0
  907 12.203 10.570  -10.514  7.464  0.211 0.361 0
  371 12.591 10.806  -10.086  7.490  0.500 0.637 0
 2357 11.769 10.005  -10.713  6.452  0.183 0.200 0
 1068 12.066  9.856  -9.597  6.240  0.270 0.583 0
  255 12.798 10.898  -11.039  8.179  0.362 0.556 0
 4029 11.453  9.580  -9.770  5.678  0.098 0.161 0
 3349 11.484  9.817  -10.019  5.505  0.282 0.524 0
 3648 11.514  9.668  -10.583  6.473  0.098 0.175 0
 2445 11.678  9.798  -11.401  6.970  0.043 0.172 0
 4399 11.468  9.581  -11.266  6.331  0.069 0.201 0
 2233 11.788 10.034  -10.102  6.279  0.182 0.592 0
 3522 11.506  9.547  -10.090  6.011  0.189 0.492 0
 2400 11.685  9.702  -9.849  6.273  0.322 0.464 0
 3025 11.667  9.951  -10.556  6.755  0.049 0.257 0
 4191 11.421  9.516  -9.890  5.902  0.190 0.474 0
 1153 12.132 10.521  -10.718  7.678  0.115 0.529 0
 4298 11.447  9.628  -10.423  5.804  0.103 0.363 0
 1357 12.043 10.258  -10.249  7.090  0.232 0.465 0
 1724 11.665  9.867  -9.788  6.498  0.262 0.572 0
  166 12.978 11.009  -10.615  8.352  0.522 0.152 0
 2145 11.713  9.918  -9.952  5.943  0.415 0.156 0
 3566 11.535  9.699  -11.124  5.921  0.119 0.289 0
 2561 11.538  9.527  -10.963  6.583  0.274 0.157 0
 3789 11.524  9.732  -10.320  6.286  0.078 0.459 0
  863 12.058 10.349  -10.029  6.738  0.406 0.680 0
 2030 11.883 10.198  -10.982  7.089  0.065 0.177 0
 3082 11.412  9.569  -9.897  6.045  0.210 0.407 0
 1822 11.759  9.968  -9.775  6.502  0.292 0.371 0
 3135 11.642  9.923  -13.000  6.562  0.024 0.150 0
  969 12.128 10.242  -10.772  7.041  0.307 0.490 0
 1129 12.117 10.355  -10.591  7.599  0.119 0.560 0
  922 12.151 10.492  -10.132  6.862  0.387 0.476 0
 2941 11.620  9.865  -10.365  6.115  0.219 0.358 0
 2503 11.728 10.046  -10.761  6.231  0.121 0.543 0
 3064 11.615  9.889  -10.245  5.889  0.136 0.477 0
 3676 11.561  9.258  -10.075  5.471  0.142 0.255 0
 4006 11.306  9.510  -9.945  5.537  0.214 0.555 0
 1552 11.984 10.347  -10.159  6.602  0.192 0.465 0
 3179 11.607  9.776  -9.781  6.141  0.186 0.608 0
 3404 11.545  9.770  -10.330  6.164  0.237 0.381 0
 2238 11.573  9.796  -9.890  6.088  0.211 0.618 0
 3800 11.502  9.493  -10.243  6.011  0.178 0.341 0
 3168 11.596  9.769  -10.205  5.783  0.126 0.451 0
 2341 11.657  9.809  -10.646  6.683  0.139 0.174 0
  280 12.797 10.810  -10.746  7.856  0.519 0.404 0
 2308 11.748  9.834  -9.394  6.057  0.226 0.241 0
  421 12.579 10.968  -10.436  7.694  0.516 0.491 0
  744 12.313 10.535  -11.812  7.856  0.184 0.177 0
 3384 11.537 10.019  -10.180  6.288  0.071 0.250 0
 1801 11.871 10.257  -10.163  6.537  0.217 0.516 0
  945 12.050 10.268  -9.845  6.734  0.453 0.550 0
 1737 11.810 10.195  -9.913  6.150  0.261 0.490 0
 3028 11.522  9.785  -10.448  5.968  0.209 0.461 0
   98 13.188 11.157  -11.232  8.667  0.552 0.154 0
  541 12.517 10.928  -10.727  8.088  0.257 0.580 0
 3182 11.603  9.420  -10.227  5.883  0.126 0.200 0
 3337 11.588  9.820  -10.128  6.289  0.163 0.406 0
  219 12.857 10.976  -10.614  8.194  0.424 0.380 0
 3878 11.508  9.560  -10.199  5.685  0.152 0.418 0
 1932 11.785 10.218  -10.038  6.273  0.328 0.577 0
 4362 11.459  9.713  -10.225  5.643  0.140 0.526 0
  890 12.217 10.399  -10.200  7.636  0.234 0.367 0
 2697 11.677  9.764  -10.394  6.386  0.201 0.390 0
 3215 11.532  9.683  -10.363  6.030  0.174 0.168 0
 1470 12.040 10.082  -10.179  5.883  0.249 0.661 0
 1110 12.143 10.356  -10.368  7.640  0.140 0.398 0
 2585 11.607  9.473  -9.830  6.216  0.253 0.308 0
 1745 11.897 10.200  -10.534  6.335  0.156 0.340 0
 4144 11.438  9.572  -10.027  5.729  0.233 0.504 0
  386 12.659 10.594  -11.391  8.065  0.316 0.155 0
  980 12.179 10.328  -11.881  7.612  0.131 0.148 0
 4281 11.474  9.770  -10.982  5.920  0.045 0.439 0
 3899 11.512  9.778  -10.590  6.036  0.099 0.351 0
 1136 12.022 10.045  -9.927  6.544  0.381 0.562 0
 1233 12.025 10.305  -10.566  7.002  0.245 0.492 0
  298 12.619 10.678  -10.102  6.611  0.480 0.633 0
 4848 11.382  9.605  -10.157  5.209  0.114 0.498 0
 2381 11.635  9.780  -9.889  6.125  0.239 0.151 0
 4363 11.434  9.694  -10.153  5.713  0.215 0.213 0
 2012 11.832 10.420  -10.370  6.121  0.134 0.679 0
 6197 11.237  9.658  -10.148  5.666  0.205 0.588 0
 5510 11.276  9.535  -10.086  5.787  0.245 0.596 0
 5147 11.318  9.507  -9.972  5.689  0.136 0.412 0
 4125 11.479  9.727  -10.155  5.948  0.114 0.470 0
 6365 11.258  9.630  -10.769  5.522  0.057 0.241 0
  271 12.799 10.768  -10.254  8.174  0.365 0.338 0
 2857 11.685 10.164  -10.500  6.034  0.064 0.629 0
 2005 11.861 10.288  -10.593  6.647  0.133 0.525 0
 3312 11.608  9.940  -10.403  5.779  0.051 0.547 0
  467 12.481 10.704  -10.058  7.188  0.394 0.515 0
 1118 11.996 10.155  -10.697  6.902  0.256 0.246 0
 2260 11.786 10.079  -10.282  6.241  0.185 0.565 0
 2678 11.657  9.722  -9.986  6.389  0.205 0.316 0
 2726 11.727  9.854  -13.000  6.890  0.031 0.147 0
  933 12.240 10.519  -13.000  7.712  0.095 0.233 0
 2511 11.659  9.917  -10.362  6.437  0.179 0.434 0
 3918 11.542  9.621  -10.500  6.616  0.038 0.181 0
  663 12.366 10.802  -10.282  7.415  0.393 0.384 0
 2720 11.630  9.615  -10.100  6.100  0.326 0.361 0
  711 12.334 10.654  -11.022  7.659  0.311 0.316 0
 1690 11.809 10.065  -9.731  6.444  0.246 0.226 0
 1660 11.925 10.168  -10.286  6.609  0.293 0.505 0
 6674 11.213  9.900  -13.000  5.865  0.011 0.394 0
 2965 11.578  9.626  -10.301  5.923  0.479 0.335 0
  985 12.174 10.448  -10.393  7.320  0.209 0.292 0
  500 12.572 10.678  -13.000  8.078  0.194 0.237 0
 4055 11.454  9.586  -10.523  5.976  0.270 0.162 0
 1452 11.630  9.793  -9.746  6.119  0.284 0.347 0
  226 12.844 10.945  -10.930  8.146  0.480 0.149 0
  995 12.247 10.100  -10.648  7.789  0.170 0.324 0
 1444 12.010 10.346  -10.641  6.562  0.177 0.638 0
 1206 12.086 10.384  -10.595  7.090  0.219 0.617 0
   29 13.594 11.337  -13.000  9.018  0.920 0.213 0
 2064 11.569  9.336  -9.733  5.722  0.462 0.292 0
 4132 11.497  9.985  -10.373  5.959  0.074 0.568 0
 2150 11.814 10.008  -10.235  6.729  0.207 0.184 0
 2073 11.789  9.916  -9.835  6.371  0.246 0.168 0
 1777 11.966 10.318  -13.000  7.436  0.003 0.341 0
 4266 11.433  9.714  -13.000  6.401  0.033 0.297 0
 1176 12.083 10.426  -10.231  6.911  0.329 0.608 0
 5555 11.332  9.552  -10.131  5.743  0.108 0.585 0
 1633 11.950 10.250  -10.355  7.062  0.110 0.164 0
 1119 12.183 10.060  -11.303  7.632  0.127 0.184 0
 2867 11.646  9.958  -10.064  6.215  0.098 0.463 0
 1241 12.073 10.529  -10.173  6.263  0.309 0.766 0
 2781 11.718  9.897  -13.000  6.902  0.033 0.193 0
  494 12.356 10.773  -10.370  7.210  0.119 0.556 0
 1219 12.069 10.136  -10.167  6.417  0.316 0.561 0
  301 12.627 10.791  -10.899  7.994  0.364 0.536 0
 3629 11.498  9.574  -10.226  6.081  0.073 0.145 0
 4638 11.420  9.580  -10.453  5.779  0.096 0.260 0
 2342 11.390 10.210  -10.802  6.464  0.039 0.488 0
 2247 11.789  9.961  -10.205  6.346  0.256 0.670 0
 3722 11.546  9.691  -10.372  6.203  0.102 0.156 0
 2908 11.577  9.478  -10.437  6.044  0.108 0.407 0
 4411 11.469  9.792  -10.254  5.993  0.080 0.594 0
 1682 11.918 10.316  -10.646  6.343  0.273 0.643 0
 2323 11.622  9.438  -9.703  5.840  0.356 0.279 0
 1270 12.019 10.155  -10.382  6.662  0.282 0.328 0
 2670 11.672  9.869  -10.990  6.516  0.224 0.257 0
 1989 11.858 10.134  -10.166  6.135  0.209 0.611 0
 3591 11.490  9.880  -10.260  6.025  0.126 0.576 0
 3058 11.573  9.686  -9.872  5.811  0.179 0.198 0
 4616 11.387  9.542  -9.833  5.786  0.166 0.430 0
 1538 11.946 10.053  -10.920  6.999  0.200 0.184 0
 2053 11.857 10.343  -10.890  7.218  0.035 0.203 0
 1837 11.735 10.024  -10.906  6.520  0.173 0.353 0
 2751 11.510  9.179  -9.882  5.941  0.472 0.417 0
  912 12.066 10.385  -12.352  7.399  0.129 0.167 0
 3810 11.470  9.601  -10.067  5.883  0.357 0.481 0
 2784 11.559  9.833  -10.772  5.902  0.111 0.180 0
