specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
J1123+1257_nbin3_BASIC_jwnorm.fits|1548.20400|-0.00016164|13.2900|10.0000|0.0000|2|2|2|-31.0347|31.0347|1547.79352|1548.11401|-0.00016164|CIV|c|
J1123+1257_nbin3_BASIC_jwnorm.fits|1550.78100|-0.00016164|13.2900|10.0000|0.0000|2|2|2|-31.0347|31.0347|1550.36983|1550.69086|-0.00016164|CIV|c|
J1123+1257_nbin3_BASIC_jwnorm.fits|1548.20400|0.00025245|13.9700|40.5000|0.0000|3|3|3|-86.2074|86.2074|1548.14959|1549.04021|0.00025245|CIV|b|
J1123+1257_nbin3_BASIC_jwnorm.fits|1550.78100|0.00025245|13.9700|40.5000|0.0000|3|3|3|-86.2074|86.2074|1550.72650|1551.61860|0.00025245|CIV|b|
J1123+1257_nbin3_BASIC_jwnorm.fits|1548.20400|0.00255406|13.4200|15.3000|0.0000|4|4|4|-35.1967|35.1967|1551.97599|1552.34044|0.00255406|CIV|b|
J1123+1257_nbin3_BASIC_jwnorm.fits|1550.78100|0.00255406|13.4200|15.3000|0.0000|4|4|4|-35.1967|35.1967|1554.55926|1554.92433|0.00255406|CIV|b|
J1123+1257_nbin3_BASIC_jwnorm.fits|1548.20400|0.00286299|13.6000|42.3000|0.0000|5|5|5|-50.5953|50.5953|1552.37448|1552.89855|0.00286299|CIV|b|
J1123+1257_nbin3_BASIC_jwnorm.fits|1550.78100|0.00286299|13.6000|42.3000|0.0000|5|5|5|-50.5953|50.5953|1554.95842|1555.48337|0.00286299|CIV|b|
J1123+1257_nbin3_BASIC_jwnorm.fits|1548.20400|0.00314618|12.7200|10.0000|0.0000|6|6|6|-20.8980|20.8980|1552.96667|1553.18320|0.00314618|CIV|c|
J1123+1257_nbin3_BASIC_jwnorm.fits|1550.78100|0.00314618|12.7200|10.0000|0.0000|6|6|6|-20.8980|20.8980|1555.55160|1555.76848|0.00314618|CIV|c|
