specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
J1249+4122_nbin3_method1_jwnorm.fits|1025.72220|0.36218875|14.7100|32.8000|0.0000|2|2|2|-59.5720|59.5720|1396.94963|1397.50492|0.36218875|HI|b|
J1249+4122_nbin3_method1_jwnorm.fits|1215.67000|0.36218875|14.7100|32.8000|0.0000|2|2|2|-59.5720|59.5720|1655.64298|1656.30109|0.36218875|HI|b|
J1249+4122_nbin3_method1_jwnorm.fits|1025.72220|0.36283413|14.7400|39.3000|0.0000|3|3|3|-69.7119|69.7119|1397.56421|1398.21432|0.36283413|HI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1215.67000|0.36283413|14.7400|39.3000|0.0000|3|3|3|-69.7119|69.7119|1656.37136|1657.14187|0.36283413|HI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1025.72220|0.36347951|14.0800|59.4000|0.0000|4|4|4|-67.1769|67.1769|1398.23785|1398.86462|0.36347951|HI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1215.67000|0.36347951|14.0800|59.4000|0.0000|4|4|4|-67.1769|67.1769|1657.16976|1657.91260|0.36347951|HI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1025.72220|0.36421132|14.7700|39.6000|0.0000|5|5|5|-73.5143|73.5143|1398.95875|1399.64502|0.36421132|HI|b|
J1249+4122_nbin3_method1_jwnorm.fits|1215.67000|0.36421132|14.7700|39.6000|0.0000|5|5|5|-73.5143|73.5143|1658.02415|1658.83751|0.36421132|HI|b|
