specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
J1249+4122_nbin3_method1_jwnorm.fits|1031.92610|0.36879983|14.2300|29.9000|0.0000|2|2|2|-77.3168|77.3168|1412.13603|1412.86460|0.36879983|OVI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1037.61670|0.36879983|14.2300|29.9000|0.0000|2|2|2|-77.3168|77.3168|1419.92332|1420.65591|0.36879983|OVI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1031.92610|0.36980936|14.3800|60.3000|0.0000|3|3|3|-64.6419|64.6419|1413.23728|1413.84686|0.36980936|OVI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1037.61670|0.36980936|14.3800|60.3000|0.0000|3|3|3|-64.6419|64.6419|1421.03063|1421.64358|0.36980936|OVI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1031.92610|0.37056256|14.8100|82.2000|0.0000|4|4|4|-89.9917|89.9917|1413.89479|1414.74389|0.37056256|OVI|b|
J1249+4122_nbin3_method1_jwnorm.fits|1037.61670|0.37056256|14.8100|82.2000|0.0000|4|4|4|-89.9917|89.9917|1421.69177|1422.54556|0.37056256|OVI|b|
J1249+4122_nbin3_method1_jwnorm.fits|1031.92610|0.37110138|14.1200|73.0000|0.0000|5|5|5|-25.3498|25.3498|1414.75567|1414.99495|0.37110138|OVI|b|
J1249+4122_nbin3_method1_jwnorm.fits|1037.61670|0.37110138|14.1200|73.0000|0.0000|5|5|5|-25.3498|25.3498|1422.55740|1422.79800|0.37110138|OVI|b|
J1249+4122_nbin3_method1_jwnorm.fits|1031.92610|0.37147798|13.6800|20.3000|0.0000|6|6|6|-46.8971|46.8971|1415.04255|1415.48533|0.37147798|OVI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1037.61670|0.37147798|13.6800|20.3000|0.0000|6|6|6|-46.8971|46.8971|1422.84586|1423.29109|0.37147798|OVI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1025.76160|0.38827723|15.8200|44.3000|0.0000|7|7|7|-84.9217|84.9217|1423.63815|1424.44492|0.38827723|OI|c|
J1249+4122_nbin3_method1_jwnorm.fits|1039.23040|0.38827723|15.8200|44.3000|0.0000|7|7|7|-84.9217|84.9217|1442.33128|1443.14864|0.38827723|OI|c|
