specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
J1101+1429_nbin3_jwnorm.fits|1548.20400|-0.00002689|13.8800|37.2000|0.0000|2|2|2|-77.3168|77.3168|1547.76314|1548.56169|-0.00002689|CIV|b|
J1101+1429_nbin3_jwnorm.fits|1550.78100|-0.00002689|13.8800|37.2000|0.0000|2|2|2|-77.3168|77.3168|1550.33941|1551.13928|-0.00002689|CIV|b|
J1101+1429_nbin3_jwnorm.fits|1548.20400|-0.00140477|12.7800|10.0000|0.0000|3|3|3|-83.6542|83.6542|1545.59779|1546.46060|-0.00140477|CIV|c|
J1101+1429_nbin3_jwnorm.fits|1550.78100|-0.00140477|12.7800|10.0000|0.0000|3|3|3|-83.6542|83.6542|1548.17045|1549.03470|-0.00140477|CIV|c|
J1101+1429_nbin3_jwnorm.fits|1548.20400|0.00029865|13.2300|10.0000|0.0000|4|4|4|-32.9547|32.9547|1548.49615|1548.83662|0.00029865|CIV|b|
J1101+1429_nbin3_jwnorm.fits|1550.78100|0.00029865|13.2300|10.0000|0.0000|4|4|4|-32.9547|32.9547|1551.07364|1551.41468|0.00029865|CIV|b|
J1101+1429_nbin3_jwnorm.fits|1548.20400|0.00061152|13.7100|26.3000|0.0000|5|5|5|-50.6995|50.6995|1548.88879|1549.41276|0.00061152|CIV|b|
J1101+1429_nbin3_jwnorm.fits|1550.78100|0.00061152|13.7100|26.3000|0.0000|5|5|5|-50.6995|50.6995|1551.46693|1551.99177|0.00061152|CIV|b|
J1101+1429_nbin3_jwnorm.fits|1548.20400|0.00101837|13.2500|31.2000|0.0000|6|6|6|-91.2592|91.2592|1549.30895|1550.25248|0.00101837|CIV|c|
J1101+1429_nbin3_jwnorm.fits|1550.78100|0.00101837|13.2500|31.2000|0.0000|6|6|6|-91.2592|91.2592|1551.88779|1552.83289|0.00101837|CIV|c|
