specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
J1249+4122_nbin3_jwnorm.fits|1548.20400|-0.00012554|14.1200|41.6000|0.0000|2|2|2|-101.6928|101.6928|1547.48462|1548.53482|-0.00012554|CIV|a|
J1249+4122_nbin3_jwnorm.fits|1550.78100|-0.00012554|14.1200|41.6000|0.0000|2|2|2|-101.6928|101.6928|1550.06042|1551.11238|-0.00012554|CIV|a|
J1249+4122_nbin3_jwnorm.fits|1548.20400|0.00051430|13.8000|24.3000|0.0000|3|3|3|-44.8323|44.8323|1548.76862|1549.23191|0.00051430|CIV|b|
J1249+4122_nbin3_jwnorm.fits|1550.78100|0.00051430|13.8000|24.3000|0.0000|3|3|3|-44.8323|44.8323|1551.34656|1551.81062|0.00051430|CIV|b|
J1249+4122_nbin3_jwnorm.fits|1548.20400|0.00080640|13.6000|15.7000|0.0000|4|4|4|-36.0845|36.0845|1549.26598|1549.63898|0.00080640|CIV|b|
J1249+4122_nbin3_jwnorm.fits|1550.78100|0.00080640|13.6000|15.7000|0.0000|4|4|4|-36.0845|36.0845|1551.84475|1552.21837|0.00080640|CIV|b|
J1249+4122_nbin3_jwnorm.fits|1548.20400|0.00109119|13.8100|20.0000|0.0000|5|5|5|-38.2715|38.2715|1549.69554|1550.09126|0.00109119|CIV|b|
J1249+4122_nbin3_jwnorm.fits|1550.78100|0.00109119|13.8100|20.0000|0.0000|5|5|5|-38.2715|38.2715|1552.27502|1552.67140|0.00109119|CIV|b|
