,specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment 
0,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1025.7222,0.39073,15.866,0.221,41.246,3.613,-27.637,1.662,2,2,2,-170.5161,170.5161,1425.9214502516213,1427.0882717947263,1170,1202,0.3906,H I,a,-- 
1,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1215.67,0.39073,15.866,0.0,41.246,0.0,-27.637,0.0,2,2,2,-170.5161,170.5161,1689.979927730324,1691.362826477476,8367,8405,0.3906,H I,a,-- 
2,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1215.67,0.25299,14.181,0.037,63.299,5.553,-23.72,4.146,2,2,2,-220.4652,220.4652,1522.3245047221856,1524.1124945300146,3797,3846,0.25289,H I,c,-- 
3,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1548.204,-3e-05,14.057,0.052,54.439,8.252,-15.372,5.662,2,2,2,-136.0684,136.0684,1547.4504963474765,1548.8558795419633,4482,4520,-8e-05,C IV,a,-- 
4,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1550.781,-3e-05,14.057,0.0,54.439,0.0,-15.372,0.0,2,2,2,-136.0684,136.0684,1550.026242133618,1551.433964601542,4552,4591,-8e-05,C IV,a,-- 
5,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1031.9261,0.3906,13.914,0.089,39.135,11.106,-3.234,7.459,2,2,2,-72.3401,72.3401,1434.743674061879,1435.241682836113,1410,1424,0.39058,O VI,a,-- 
6,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1037.6167,0.3906,13.914,0.0,39.135,0.0,-3.234,0.0,2,2,2,-72.3401,72.3401,1442.6556285629006,1443.1563836275236,1626,1640,0.39058,O VI,a,-- 
7,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1560.3092,3e-05,13.394,0.274,20.0,21.262,-23.616,13.588,2,2,2,-103.3431,103.3431,1559.8187238610935,1560.894449319714,4819,4849,-5e-05,C I,a,-- 
8,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1656.9284,3e-05,13.394,0.0,20.0,0.0,-23.616,0.0,2,2,2,-103.3431,103.3431,1656.407552052634,1657.5498897783816,7452,7483,-5e-05,C I,a,-- 
9,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1206.5,0.39067,15.724,0.938,12.358,3.699,-13.662,3.342,2,2,2,-155.0146,155.0146,1677.2207852576907,1678.4684825223094,8019,8053,0.39061,SiIII,a,-- 
10,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1670.7886,-5e-05,13.937,0.545,35.358,11.221,-21.291,4.308,2,2,2,-144.6803,144.6803,1669.8924031404829,1671.505053421929,7819,7863,-0.00012,AlII,a,-- 
11,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1036.3367,0.39074,14.284,0.059,41.524,7.197,-15.812,5.037,2,2,2,-139.5131,139.5131,1440.7956942543842,1441.7602451748796,1575,1602,0.39067,C II,a,-- 
12,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1393.7602,-9e-05,13.503,0.058,58.238,9.926,-4.17,6.913,2,2,2,-129.1788,129.1788,1393.0338222261516,1394.2349483073403,273,306,-0.0001,SiIV,a,-- 
13,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1402.7729,-9e-05,13.503,0.0,58.238,0.0,-4.17,0.0,2,2,2,-129.1788,129.1788,1402.0418251305089,1403.250718250125,519,552,-0.0001,SiIV,a,-- 
14,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1025.7222,0.42009,13.994,0.085,53.209,12.57,-17.339,8.786,2,2,2,-141.2355,141.2355,1456.1369076888077,1457.103365542648,1993,2020,0.42001,H I,a,-- 
15,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1220+4643/J1220+4643_nbin3_allvisits_jwnorm.fits,1215.67,0.42009,13.994,0.0,53.209,0.0,-17.339,0.0,2,2,2,-141.2355,141.2355,1725.790817991512,1726.9362488100885,9343,9374,0.42001,H I,a,-- 
