specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1222+4612/J1222+4612_nbin3_jwnorm.fits|1393.7602|-2e-05|13.595|0.039|72.3|7.978|-18.765|5.717|2|2|2|-119.1439|119.1439|1393.1755297608129|1394.2833496639591|277|308|-8e-05|SiIV|a|--|./component_groups/input_group_0.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1222+4612/J1222+4612_nbin3_jwnorm.fits|1402.7729|-2e-05|13.595|0.0|72.3|0.0|-18.765|0.0|2|2|2|-119.1439|119.1439|1402.1844490118253|1403.2994325923685|523|553|-8e-05|SiIV|a|--|./component_groups/input_group_0.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1222+4612/J1222+4612_nbin3_jwnorm.fits|1526.707|-0.00019|14.964|0.338|30.856|9.267|15.091|6.13|2|2|2|-92.5266|92.5266|1525.95038612346|1526.8927781292402|3896|3922|-0.00014|SiII|a|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1222+4612/J1222+4612_nbin3_jwnorm.fits|1526.707|0.00021|13.873|0.427|38.01|34.221|-27.737|33.899|3|3|3|-36.7572|36.7572|1526.8411382760914|1527.215513768489|3920|3931|0.00012|SiII|none|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1222+4612/J1222+4612_nbin3_jwnorm.fits|1548.204|-0.00012|14.49|0.024|66.143|3.859|10.042|2.992|2|2|2|-152.0986|152.0986|1547.2263458371751|1548.7972970377848|4476|4519|-9e-05|C IV|a|--|./component_groups/input_group_2.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1222+4612/J1222+4612_nbin3_jwnorm.fits|1550.781|-0.00012|14.49|0.0|66.143|0.0|10.042|0.0|2|2|2|-152.0986|152.0986|1549.8017185227013|1551.3752845862384|4546|4589|-9e-05|C IV|a|--|./component_groups/input_group_2.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1222+4612/J1222+4612_nbin3_jwnorm.fits|1670.7886|-7e-05|13.953|0.406|43.132|11.486|-4.585|4.683|2|2|2|-119.1439|119.1439|1670.0029596592335|1671.3309735206064|7822|7859|-9e-05|AlII|a|--|./component_groups/input_group_4.VP
