,specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment 
0,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1159+5106/J1159+5106_nbin3_method1_jwnormaugust2023.fits,1190.4158,0.19946,13.269,0.071,44.794,9.484,-6.716,6.612,2,2,2,-68.4444,68.4444,1427.58433265722,1428.127890662148,1215,1230,0.19943,SiII,b,-- 
1,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1159+5106/J1159+5106_nbin3_method1_jwnormaugust2023.fits,1193.2897,0.19946,13.269,0.0,44.794,0.0,-6.716,0.0,2,2,2,-68.4444,68.4444,1431.030804565291,1431.5756748271217,1309,1324,0.19943,SiII,b,-- 
2,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1159+5106/J1159+5106_nbin3_method1_jwnormaugust2023.fits,1260.4221,0.19946,13.269,0.0,44.794,0.0,-6.716,0.0,2,2,2,-68.4444,68.4444,1511.5381050007163,1512.1136287143995,3503,3519,0.19943,SiII,b,-- 
3,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1159+5106/J1159+5106_nbin3_method1_jwnormaugust2023.fits,1304.3702,0.19946,13.269,0.0,44.794,0.0,-6.716,0.0,2,2,2,-68.4444,68.4444,1564.242058535316,1564.8376494738766,4940,4956,0.19943,SiII,b,-- 
4,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1159+5106/J1159+5106_nbin3_method1_jwnormaugust2023.fits,1215.67,0.27956,13.488,0.375,31.305,23.936,-9.36,19.925,2,2,2,-43.3272,43.3272,1555.342769041706,1555.694155981694,4697,4707,0.27952,H I,b,-- 
5,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1159+5106/J1159+5106_nbin3_method1_jwnormaugust2023.fits,1215.67,0.28,14.079,0.233,60.061,45.276,-5.291,19.398,3,3,3,-52.6953,52.6953,1555.8396393641592,1556.2670023190408,4711,4722,0.27997,H I,b,-- 
6,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1159+5106/J1159+5106_nbin3_method1_jwnormaugust2023.fits,1215.67,0.28035,13.495,0.718,24.3,39.153,-2.173,17.779,4,4,4,-24.5911,24.5911,1556.379075324296,1556.5785110455042,4726,4731,0.28034,H I,b,-- 
7,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1159+5106/J1159+5106_nbin3_method1_jwnormaugust2023.fits,1215.67,0.28059,13.345,0.358,14.899,21.336,-7.928,12.73,5,5,5,-24.5911,24.5911,1556.670811810896,1556.870247532104,4733,4739,0.28055,H I,b,-- 
8,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1159+5106/J1159+5106_nbin3_method1_jwnormaugust2023.fits,1215.67,0.28081,13.422,0.688,20.0,26.724,-1.668,17.515,6,6,6,-18.7361,18.7361,1556.9680676554103,1557.1200188741896,4742,4746,0.2808,H I,b,-- 
9,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1159+5106/J1159+5106_nbin3_method1_jwnormaugust2023.fits,1215.67,0.28113,13.722,0.355,40.733,32.419,-21.046,31.158,7,7,7,-50.3533,50.3533,1557.222782581145,1557.631151735055,4749,4760,0.28104,H I,b,-- 
