specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1051+2805/J1051+2805_nbin3_jwnorm.fits|1393.7602|-0.00014|13.509|0.045|85.0|10.718|-11.718|7.44|2|2|2|-116.6142|116.6142|1393.0169869887586|1394.1012853183372|273|303|-0.00018|SiIV|b|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1051+2805/J1051+2805_nbin3_jwnorm.fits|1402.7729|-0.00014|13.509|0.0|85.0|0.0|-11.718|0.0|2|2|2|-116.6142|116.6142|1402.0248810286612|1403.1161909342304|519|548|-0.00018|SiIV|b|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1051+2805/J1051+2805_nbin3_jwnorm.fits|1393.7602|0.00635|13.078|0.082|31.3|8.167|14.452|5.565|3|3|3|-78.1315|78.1315|1402.2406473457183|1402.9671270963613|524|544|0.00639|SiIV|c|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1051+2805/J1051+2805_nbin3_jwnorm.fits|1402.7729|0.00635|13.078|0.0|31.3|0.0|14.452|0.0|3|3|3|-78.1315|78.1315|1411.3081858522223|1412.0393633579374|772|791|0.00639|SiIV|c|--|./component_groups/input_group_1.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1051+2805/J1051+2805_nbin3_jwnorm.fits|1548.204|0.00442|13.99|0.057|32.78|5.621|6.646|3.813|2|2|2|-74.6331|74.6331|1554.6567451698309|1555.427593540889|4679|4700|0.00444|C IV|a|--|./component_groups/input_group_10.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1051+2805/J1051+2805_nbin3_jwnorm.fits|1550.781|0.00442|13.99|0.0|32.78|0.0|6.646|0.0|2|2|2|-74.6331|74.6331|1557.244485824359|1558.016617279721|4749|4770|0.00444|C IV|a|--|./component_groups/input_group_10.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1051+2805/J1051+2805_nbin3_jwnorm.fits|1670.7886|-0.00012|13.646|0.1|40.47|4.488|5.801|2.782|2|2|2|-99.1221|99.1221|1670.04064519167|1671.1454900286144|7823|7854|-0.0001|AlII|a|--|./component_groups/input_group_12.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1051+2805/J1051+2805_nbin3_jwnorm.fits|1393.7602|0.00415|13.11|0.068|17.8|4.745|6.094|2.99|2|2|2|-52.4764|52.4764|1399.300421284966|1399.7883556262577|444|458|0.00417|SiIV|c|--|./component_groups/input_group_2.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1051+2805/J1051+2805_nbin3_jwnorm.fits|1402.7729|0.00415|13.11|0.0|17.8|0.0|6.094|0.0|2|2|2|-52.4764|52.4764|1408.3489469258295|1408.8400364769184|691|704|0.00417|SiIV|c|--|./component_groups/input_group_2.VP
/Users/samgarza/Dropbox/COS-HolesHSTdata/J1051+2805/J1051+2805_nbin3_jwnorm.fits|1393.7602|0.00448|13.504|0.035|35.298|4.077|-9.39|2.637|3|3|3|-62.9717|62.9717|1399.714495520275|1400.3000169157888|456|472|0.00445|SiIV|a|--|./component_groups/input_group_2.VP
